x,t=0.000000,t=0.080000,t=0.160000,t=0.240000,t=0.320000,t=0.400000,t=0.480000
0.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
0.250000,100.000000,215.737012,259.260319,280.117281,290.290635,295.258432,297.684450
0.500000,100.000000,183.369048,242.462956,271.883963,286.268957,293.294412,296.725318
0.750000,100.000000,215.737012,259.260319,280.117281,290.290635,295.258432,297.684450
1.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
