x,t=0.000000,t=0.075000,t=0.150000,t=0.225000,t=0.300000,t=0.375000,t=0.450000
0.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
0.050000,100.000000,278.155855,289.351441,294.516288,297.167356,298.536513,299.243880
0.100000,100.000000,257.166011,278.972355,289.167823,294.404468,297.109062,298.506378
0.150000,100.000000,237.736107,269.123916,284.086475,291.779373,295.752796,297.805655
0.200000,100.000000,220.382392,260.051318,279.397451,289.356712,294.501110,297.158963
0.250000,100.000000,205.444543,251.977196,275.216190,287.196139,293.384826,296.582227
0.300000,100.000000,193.120963,245.096380,271.645531,285.350849,292.431430,296.089648
0.350000,100.000000,183.509601,239.572032,268.773202,283.866275,291.664397,295.693355
0.400000,100.000000,176.645658,235.533012,266.669705,282.778964,291.102614,295.403105
0.450000,100.000000,172.532217,233.072230,265.386624,282.115684,290.759915,295.226047
0.500000,100.000000,171.162330,232.245728,264.955409,281.892761,290.644736,295.166539
0.550000,100.000000,172.532217,233.072230,265.386624,282.115684,290.759915,295.226047
0.600000,100.000000,176.645658,235.533012,266.669705,282.778964,291.102614,295.403105
0.650000,100.000000,183.509601,239.572032,268.773202,283.866275,291.664397,295.693355
0.700000,100.000000,193.120963,245.096380,271.645531,285.350849,292.431430,296.089648
0.750000,100.000000,205.444543,251.977196,275.216190,287.196139,293.384826,296.582227
0.800000,100.000000,220.382392,260.051318,279.397451,289.356712,294.501110,297.158963
0.850000,100.000000,237.736107,269.123916,284.086475,291.779373,295.752796,297.805655
0.900000,100.000000,257.166011,278.972355,289.167823,294.404468,297.109062,298.506378
0.950000,100.000000,278.155855,289.351441,294.516288,297.167356,298.536513,299.243880
1.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
