x,t=0.000000,t=0.100000,t=0.200000,t=0.300000,t=0.400000,t=0.500000
0.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
0.050000,100.000000,284.083109,294.422676,297.932138,299.228998,299.712324
0.100000,100.000000,271.789347,289.119728,295.922351,298.477396,299.431758
0.150000,100.000000,256.539428,283.894817,294.002095,297.762620,299.165141
0.200000,100.000000,244.192809,279.215234,292.239678,297.103620,298.919127
0.250000,100.000000,233.003539,274.975913,290.661659,296.515411,298.699689
0.300000,100.000000,223.295762,271.369141,289.316644,296.013317,298.512296
0.350000,100.000000,215.496106,268.469783,288.233866,295.609251,298.361520
0.400000,100.000000,209.807899,266.344619,287.440814,295.313338,298.251095
0.450000,100.000000,206.344335,265.047989,286.957095,295.132824,298.183732
0.500000,100.000000,205.180498,264.612264,286.794522,295.072153,298.161092
0.550000,100.000000,206.344335,265.047989,286.957095,295.132824,298.183732
0.600000,100.000000,209.807899,266.344619,287.440814,295.313338,298.251095
0.650000,100.000000,215.496106,268.469783,288.233866,295.609251,298.361520
0.700000,100.000000,223.295762,271.369141,289.316644,296.013317,298.512296
0.750000,100.000000,233.003539,274.975913,290.661659,296.515411,298.699689
0.800000,100.000000,244.192809,279.215234,292.239678,297.103620,298.919127
0.850000,100.000000,256.539428,283.894817,294.002095,297.762620,299.165141
0.900000,100.000000,271.789347,289.119728,295.922351,298.477396,299.431758
0.950000,100.000000,284.083109,294.422676,297.932138,299.228998,299.712324
1.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
