x,t=0.000000,t=0.083000,t=0.166000,t=0.249000,t=0.332000,t=0.415000,t=0.498000
0.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
0.100000,100.000000,265.378022,284.692531,293.220653,296.997563,298.670281,299.411094
0.200000,100.000000,234.187680,270.883503,287.104916,294.289026,297.470724,298.879835
0.300000,100.000000,209.489580,259.924647,282.251440,292.139519,296.518751,298.458224
0.400000,100.000000,193.667537,252.888661,279.135316,290.759450,295.907546,298.187534
0.500000,100.000000,188.223111,250.464232,278.061573,290.283911,295.696939,298.094261
0.600000,100.000000,193.667537,252.888661,279.135316,290.759450,295.907546,298.187534
0.700000,100.000000,209.489580,259.924647,282.251440,292.139519,296.518751,298.458224
0.800000,100.000000,234.187680,270.883503,287.104916,294.289026,297.470724,298.879835
0.900000,100.000000,265.378022,284.692531,293.220653,296.997563,298.670281,299.411094
1.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
