x,t=0.000000,t=0.100000,t=0.200000,t=0.300000,t=0.400000,t=0.500000
0.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
0.050000,100.000000,422.051605,178.048495,401.910604,206.906337,383.549210
0.100000,100.000000,360.205791,227.794255,343.317050,264.566619,325.176618
0.150000,100.000000,311.370266,257.909148,310.130501,292.882373,299.179054
0.200000,100.000000,273.103254,274.782471,292.796589,304.483085,290.211367
0.250000,100.000000,243.491406,283.084593,284.934586,307.196213,289.417677
0.300000,100.000000,221.054127,286.191804,282.359992,305.735012,291.909390
0.350000,100.000000,204.669555,286.503193,282.389631,302.838330,295.145302
0.400000,100.000000,193.518460,285.672786,283.355387,300.027966,297.910245
0.450000,100.000000,187.043289,284.774171,284.273480,298.098893,299.688011
0.500000,100.000000,184.920282,284.409937,284.632159,297.420506,300.294547
0.550000,100.000000,187.043289,284.774171,284.273480,298.098893,299.688011
0.600000,100.000000,193.518460,285.672786,283.355387,300.027966,297.910245
0.650000,100.000000,204.669555,286.503193,282.389631,302.838330,295.145302
0.700000,100.000000,221.054127,286.191804,282.359992,305.735012,291.909390
0.750000,100.000000,243.491406,283.084593,284.934586,307.196213,289.417677
0.800000,100.000000,273.103254,274.782471,292.796589,304.483085,290.211367
0.850000,100.000000,311.370266,257.909148,310.130501,292.882373,299.179054
0.900000,100.000000,360.205791,227.794255,343.317050,264.566619,325.176618
0.950000,100.000000,422.051605,178.048495,401.910604,206.906337,383.549210
1.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
