x,t=0.000000,t=0.080000,t=0.160000,t=0.240000,t=0.320000,t=0.400000,t=0.480000
0.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
0.150000,100.000000,249.012958,279.438782,291.642422,296.602464,298.618826,299.438522
0.300000,100.000000,212.412801,264.391328,285.524277,294.115295,297.607736,299.027491
0.450000,100.000000,199.260097,258.885180,283.284891,293.204928,297.237651,298.877043
0.600000,100.000000,212.412801,264.391328,285.524277,294.115295,297.607736,299.027491
0.750000,100.000000,249.012958,279.438782,291.642422,296.602464,298.618826,299.438522
0.900000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
