x,t=0.000000,t=0.100000,t=0.200000,t=0.300000,t=0.400000,t=0.500000
0.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
0.100000,221.309469,270.671422,289.069009,295.925934,298.481564,299.434067
0.200000,150.321715,244.213730,279.208020,292.250666,297.111762,298.923531
0.300000,93.985514,223.216786,271.382294,289.333957,296.024682,298.518368
0.400000,57.815447,209.735919,266.357869,287.461314,295.326734,298.258237
0.500000,45.352091,205.090728,264.626570,286.816046,295.086237,298.168602
0.600000,57.815447,209.735919,266.357869,287.461314,295.326734,298.258237
0.700000,93.985514,223.216786,271.382294,289.333957,296.024682,298.518368
0.800000,150.321715,244.213730,279.208020,292.250666,297.111762,298.923531
0.900000,221.309469,270.671422,289.069009,295.925934,298.481564,299.434067
1.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
