x,t=0.000000,t=0.075000,t=0.150000,t=0.225000,t=0.300000,t=0.375000,t=0.450000
0.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
0.050000,100.000000,886100.000000,-21760587899.999977,743772794578098.625000,-29510405205962539008.000000,1275225577236578992914432.000000,-58244545624305408660587151360.000000
0.100000,100.000000,-739900.000000,27644300099.999966,-1092569498479898.000000,46702983497365209088.000000,-2111999709449913756549120.000000,99464675086747483920094199808.000000
0.150000,100.000000,200100.000000,-18935999899.999977,971866544800098.250000,-47257876570215899136.000000,2309162280254118727516160.000000,-114534559850538190738011717632.000000
0.200000,100.000000,100.000000,7870000099.999991,-612056707999899.000000,36035223533469917184.000000,-1969806330100387992829952.000000,105228374219167962074926022656.000000
0.250000,100.000000,100.000000,-1879999899.999998,281514520000099.500000,-21654227872159952896.000000,1376917818469596029517824.000000,-81161904905663972478094934016.000000
0.300000,100.000000,100.000000,200000100.000000,-93447199999899.828125,10372900176799977472.000000,-802970892872436877885440.000000,53646820838812659887407890432.000000
0.350000,100.000000,100.000000,100.000000,21352000000099.964844,-3941837015999991808.000000,392634662042068936818688.000000,-30677813754785502011878014976.000000
0.400000,100.000000,100.000000,100.000000,-3019999999899.995605,1167569899999997440.000000,-161011183975299566010368.000000,15349876308134071418784579584.000000
0.450000,100.000000,100.000000,100.000000,200000000099.999695,-264731999999999328.000000,57642389892999843676160.000000,-7225095434746340228378656768.000000
0.500000,100.000000,100.000000,100.000000,100.000000,82663999999999936.000000,-30025819987999918653440.000000,4763426773003817025982693376.000000
0.550000,100.000000,100.000000,100.000000,200000000099.999695,-264731999999999424.000000,57642389892999852064768.000000,-7225095434746341327890284544.000000
0.600000,100.000000,100.000000,100.000000,-3019999999899.995605,1167569899999997696.000000,-161011183975299566010368.000000,15349876308134069219761324032.000000
0.650000,100.000000,100.000000,100.000000,21352000000099.964844,-3941837015999991808.000000,392634662042068869709824.000000,-30677813754785493215784992768.000000
0.700000,100.000000,100.000000,200000100.000000,-93447199999899.875000,10372900176799977472.000000,-802970892872436609449984.000000,53646820838812659887407890432.000000
0.750000,100.000000,100.000000,-1879999899.999998,281514520000099.500000,-21654227872159948800.000000,1376917818469596029517824.000000,-81161904905663972478094934016.000000
0.800000,100.000000,100.000000,7870000099.999991,-612056707999898.875000,36035223533469913088.000000,-1969806330100387992829952.000000,105228374219167926890553933824.000000
0.850000,100.000000,200100.000000,-18935999899.999977,971866544800098.250000,-47257876570215890944.000000,2309162280254118459080704.000000,-114534559850538190738011717632.000000
0.900000,100.000000,-739900.000000,27644300099.999966,-1092569498479897.875000,46702983497365209088.000000,-2111999709449913488113664.000000,99464675086747483920094199808.000000
0.950000,100.000000,886100.000000,-21760587899.999973,743772794578098.625000,-29510405205962551296.000000,1275225577236578992914432.000000,-58244545624305408660587151360.000000
1.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
