x,t=0.000000,t=0.080000,t=0.160000,t=0.240000,t=0.320000,t=0.400000,t=0.480000
0.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
0.200000,100.000000,229.246840,266.347700,283.784712,292.182921,296.231469,298.183230
0.400000,100.000000,187.720339,245.588640,273.763810,287.351712,293.902389,297.060404
0.600000,100.000000,187.720339,245.588640,273.763810,287.351712,293.902389,297.060404
0.800000,100.000000,229.246840,266.347700,283.784712,292.182921,296.231469,298.183230
1.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
