x,t=0.000000,t=0.080000,t=0.160000,t=0.240000,t=0.320000,t=0.400000,t=0.480000
0.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
0.150000,100.000000,254.572294,283.630320,294.067609,297.848895,299.219959,299.717138
0.300000,100.000000,222.413301,271.685735,289.726175,296.274226,298.648932,299.510068
0.450000,100.000000,209.144592,267.260640,288.135219,295.697790,298.439919,299.434275
0.600000,100.000000,222.413301,271.685735,289.726175,296.274226,298.648932,299.510068
0.750000,100.000000,254.572294,283.630320,294.067609,297.848895,299.219959,299.717138
0.900000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
