x,t=0.000000,t=0.080000,t=0.160000,t=0.240000,t=0.320000,t=0.400000,t=0.480000
0.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
0.250000,100.000000,222.262331,264.647878,283.912404,292.679041,296.668462,298.483922
0.500000,100.000000,190.211135,250.004817,277.248704,289.646601,295.288494,297.855942
0.750000,100.000000,222.262331,264.647878,283.912404,292.679041,296.668462,298.483922
1.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
