x,t=0.000000,t=0.080000,t=0.160000,t=0.240000,t=0.320000,t=0.400000,t=0.480000
0.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
0.200000,100.000000,235.150146,270.950739,286.985237,294.169075,297.387606,298.829585
0.400000,100.000000,195.095825,252.997314,278.941671,290.565365,295.773058,298.106229
0.600000,100.000000,195.095825,252.997314,278.941671,290.565365,295.773058,298.106229
0.800000,100.000000,235.150146,270.950739,286.985237,294.169075,297.387606,298.829585
1.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
