x,t=0.000000,t=0.100000,t=0.200000,t=0.300000,t=0.400000,t=0.500000
0.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
0.025000,100.000000,458.722880,143.390195,444.608079,161.692960,431.725723
0.050000,100.000000,421.929796,178.354696,401.407075,207.658562,382.554212
0.075000,100.000000,389.160834,206.250386,368.063038,241.345342,347.847719
0.100000,100.000000,360.006383,228.245184,342.642550,265.524602,323.980026
0.125000,100.000000,334.102011,245.342888,323.549124,282.412825,308.134063
0.150000,100.000000,311.123915,258.404827,309.469039,293.773503,298.137160
0.175000,100.000000,290.784867,268.168729,299.325296,301.001646,292.327338
0.200000,100.000000,272.830631,275.265119,292.238521,305.193775,289.445102
0.225000,100.000000,257.036777,280.231557,287.493866,307.205724,288.546186
0.250000,100.000000,243.205883,283.524969,284.513015,307.700268,288.931432
0.275000,100.000000,231.165062,285.532297,282.830599,307.186217,290.090662
0.300000,100.000000,220.763805,286.579652,282.074385,306.050409,291.657954
0.325000,100.000000,211.872096,286.940158,281.948705,304.583768,293.376174
0.350000,100.000000,204.378787,286.840613,282.220682,303.002409,295.069018
0.375000,100.000000,198.190214,286.467106,282.708871,301.464608,296.619136
0.400000,100.000000,193.229018,285.969682,283.274000,300.084315,297.951177
0.425000,100.000000,189.433185,285.466154,283.811536,298.941742,299.018833
0.450000,100.000000,186.755266,285.045124,284.245893,298.091477,299.795146
0.475000,100.000000,185.161789,284.768275,284.526077,297.568455,300.265511
0.500000,100.000000,184.632833,284.671986,284.622675,297.392049,300.422974
0.525000,100.000000,185.161789,284.768275,284.526077,297.568455,300.265511
0.550000,100.000000,186.755266,285.045124,284.245893,298.091477,299.795146
0.575000,100.000000,189.433185,285.466154,283.811536,298.941742,299.018833
0.600000,100.000000,193.229018,285.969682,283.274000,300.084315,297.951177
0.625000,100.000000,198.190214,286.467106,282.708871,301.464608,296.619136
0.650000,100.000000,204.378787,286.840613,282.220682,303.002409,295.069018
0.675000,100.000000,211.872096,286.940158,281.948705,304.583768,293.376174
0.700000,100.000000,220.763805,286.579652,282.074385,306.050409,291.657954
0.725000,100.000000,231.165062,285.532297,282.830599,307.186217,290.090662
0.750000,100.000000,243.205883,283.524969,284.513015,307.700268,288.931432
0.775000,100.000000,257.036777,280.231557,287.493866,307.205724,288.546186
0.800000,100.000000,272.830631,275.265119,292.238521,305.193775,289.445102
0.825000,100.000000,290.784867,268.168729,299.325296,301.001646,292.327338
0.850000,100.000000,311.123915,258.404827,309.469039,293.773503,298.137160
0.875000,100.000000,334.102011,245.342888,323.549124,282.412825,308.134063
0.900000,100.000000,360.006383,228.245184,342.642550,265.524602,323.980026
0.925000,100.000000,389.160834,206.250386,368.063038,241.345342,347.847719
0.950000,100.000000,421.929796,178.354696,401.407075,207.658562,382.554212
0.975000,100.000000,458.722880,143.390195,444.608079,161.692960,431.725723
1.000000,300.000000,300.000000,300.000000,300.000000,300.000000,300.000000
